,Federal Fiscal Year,School Quarter (Q1-Q4),Stafford Subsidized - Dollars Outstanding (in billions),Stafford Subsidized -Recipients (in millions),Stafford Unsubsidized - Dollars Outstanding (in billions),Stafford Unsubsidized - Recipients (in millions),Stafford (Combined) - Dollars Outstanding (in billions),Stafford (Combined) - Loans Recipients (in millions),Grad PLUS - Dollars Outstanding (in billions),Grad PLUS - Loans Recipients (in millions),Parent PLUS - Dollars Outstanding (in billions),Parent PLUS - Loans Recipients (in millions),Perkins - Dollars Outstanding (in billions),Perkins - Loans Recipients (in millions),Consolidation - Dollars Outstanding (in billions),Consolidation - Loans Recipients (in millions)
0,2014,Q2,255.3,28.2,350.7,25.5,606,30.7,37.8,0.9,62.2,3.1,8.3,3,373.6,11.8
1,2014,Q3,254.1,28,355.1,25.5,609.2,30.5,38.6,0.9,61.9,3.1,8.2,2.9,378.8,11.8
2,2014,Q4,258.8,28.7,370.8,26.3,629.7,31.4,41.2,1,65.1,3.2,8.2,2.9,385.8,11.8
3,2015,Q1,258,28.9,373,26.6,630.9,31.7,40.9,1,65.1,3.2,8.2,3,394.9,11.9
4,2015,Q2,262.9,28.8,388.4,26.5,651.3,31.5,43.4,1,68.7,3.2,8.3,2.9,402.8,11.9
5,2015,Q3,260.7,28.5,390.8,26.4,651.6,31.3,44.1,1,68,3.1,8.2,2.9,410.3,11.9
6,2015,Q4,264.8,29.1,404.9,27.1,669.7,32.1,46.8,1,71.1,3.3,8.1,2.8,416.7,11.9
7,2016,Q1,264.1,29.3,406.6,27.3,670.7,32.2,46.6,1,71.1,3.4,8.1,2.9,423.6,12
8,2016,Q2,269,29.2,421.8,27.3,690.8,32.1,49.4,1,75.2,3.3,8.2,2.8,431.2,12
9,2016,Q3,266.7,28.9,423.5,27.1,690.3,31.9,50.2,1,74.5,3.3,8,2.7,439.2,12
10,2016,Q4,270.1,29.5,436.1,27.8,706.2,32.6,53,1.1,77.8,3.5,7.9,2.7,447.3,12
11,2017,Q1,268.8,29.6,436.5,28,705.3,32.8,52.8,1.1,77.5,3.5,7.9,2.7,456.2,12
12,2017,Q2,272.5,29.4,449.6,27.9,722.2,32.6,55.7,1.1,81.5,3.4,7.9,2.6,464.5,12
13,2017,Q3,269.9,29,450.3,27.6,720.2,32.2,56.6,1.1,80.5,3.4,7.8,2.6,472.3,12
14,2017,Q4,273.1,29.5,462.4,28.3,735.5,32.9,59.7,1.2,83.9,3.5,7.6,2.5,480.3,12
15,2018,Q1,272.2,29.6,463.3,28.4,735.5,33,59.6,1.2,83.7,3.5,7.6,2.5,489,12
16,2018,Q2,276.4,29.5,476.6,28.3,753,32.9,62.8,1.2,87.7,3.5,7.6,2.5,495.9,11.9
17,2018,Q3,274.2,29.1,477.8,28,752.1,32.5,63.9,1.2,86.7,3.4,7.4,2.4,501.9,11.9
18,2018,Q4,277.5,29.6,489.6,28.7,767.1,33.1,67,1.3,89.9,3.6,7.1,2.3,508,11.9
19,2019,Q1,276.8,29.7,490.9,28.8,767.7,33.3,71.3,1.5,89.8,3.6,6.9,2.2,515.6,11.8
20,2019,Q2,280,29.5,503.5,28.7,783.5,33.1,70.7,1.3,93.9,3.5,6.6,2.2,521.8,11.8
21,2019,Q3,277.4,29.1,504.2,28.3,781.6,32.6,71.9,1.3,92.9,3.5,6.3,2.1,528.4,11.8
22,2019,Q4,280.7,29.5,516,28.9,796.7,33.2,75.2,1.4,96.1,3.6,6.1,2,536.1,11.7
23,2020,Q1,279.6,29.6,516.3,28.9,795.8,33.2,75.3,1.4,95.6,3.6,5.9,1.9,542.4,11.7
24,2020,Q2,282.9,29.4,528.5,28.8,811.4,33,78.8,1.4,99.4,3.5,5.6,1.9,547.7,11.6
25,2020,Q3,282.3,29.1,529.1,28.6,811.4,32.8,79.5,1.4,98.3,3.5,5.4,1.8,550.2,11.6
26,2020,Q4,285.7,29.6,539.8,29.2,825.5,33.4,82.8,1.5,100.8,3.6,5.2,1.7,552.1,11.5
27,2021,Q1,285.2,29.6,539.4,29.3,824.6,33.5,82.7,1.5,100.3,3.6,4.9,1.7,552.6,11.5
28,2021,Q2,289.8,29.6,552.7,29.4,842.5,33.6,86.3,1.5,103.6,3.6,4.7,1.6,554.7,11.4
