,Federal Fiscal Year,School Quarter (Q1-Q4),Public - Dollars Outstanding           (in billions),Public - Recipients     (in millions),Private - Dollars Outstanding            (in billions),Private - Recipients     (in millions),Proprietary - Dollars Outstanding           (in billions),Proprietary - Recipients     (in millions),Foreign - Dollars Outstanding            (in billions),Foreign - Recipients     (in millions),Other - Dollars Outstanding           (in billions),Other - Recipients     (in millions)
0,2017,Q2,563.8,23.9,434.7,12.8,221.6,11.7,13.5,0.1,106.9,9
1,2017,Q3,561.7,23.6,435,12.7,224.2,11.7,13.7,0.1,107.5,9
2,2017,Q4,581.1,24.3,451.7,13.3,242.9,12.3,14.2,0.1,82.1,7.9
3,2018,Q1,582.7,24.4,454.7,13.3,244.9,12.4,14.3,0.1,85.1,7.9
4,2018,Q2,597.5,24.4,466.2,13.3,248.4,12.4,14.8,0.1,84.2,7.8
5,2018,Q3,596.5,24.1,467.6,13.2,251.1,12.4,15.1,0.1,86.3,7.8
6,2018,Q4,617.6,24.9,478.5,13.5,245.6,12.2,15.5,0.1,88.2,7.9
7,2019,Q1,619.6,24.9,480.4,13.5,248.6,12.3,15.7,0.1,90.4,7.9
8,2019,Q2,630.2,24.8,489.5,13.4,249.3,12.3,16.2,0.1,95.6,10.3
9,2019,Q3,628.8,24.5,490.9,13.3,251.4,12.2,16.5,0.1,97.9,10.3
10,2019,Q4,641.9,25,501.8,13.6,254.6,12.2,16.9,0.2,100.2,10.3
11,2020,Q1,641.8,25,502.3,13.5,256.6,12.2,17.1,0.2,101.8,10.3
12,2020,Q2,652.9,24.8,512.7,13.5,257.5,12.2,17.5,0.2,103.6,10.3
13,2020,Q3,650.8,24.6,512.8,13.4,259.6,12.2,17.7,0.2,104.5,10.3
14,2020,Q4,662.2,25.1,520.2,13.7,261.3,12.3,18.1,0.2,105.1,10.2
15,2021,Q1,660.1,25,519.6,13.7,262.7,12.4,18.2,0.2,105.7,10.2
16,2021,Q2,696.6,25,551.5,13.7,276.9,12.4,19.5,0.2,49.4,10.2
